# Constructed from biom file
#OTU ID	S25	S1	S110	S22	S9	S50	S24	S26	S27	S62	S11	S85	S61	S63	S54	S101	S19	S99	S30	S47	S87	S38	S91	S56	S51	S98	S109	S14	S16	S43	S112	S100	S96	S65	S106	S39	S67	S57	S32	S46	S77	S36	S10	S55	S37	S12	S40	S35	S48	S94	S34	S64	S93	S72	S111	S2	S88	S108	S95	S89	S83	S60	S97	S20	S6	S69	S42	S13	S68	S18	S49	S7	S80	S15	S76	S74	S107	S17	S102	S92	S81	S105	S29	S70	S59	S104	S23	S75	S41	S53	S52	S113	S58	S73	S90	S33	S8	S103	S31	S82	S3	S4	S66	S5	S79	S21	S84	S78	S71	S28	S44	S45	S86
D_0__Archaea;D_1__Bathyarchaeota;D_2__uncultured archaeon;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136363636364	0.0	0.000909090909091	0.00136363636364	0.000454545454545	0.00818181818182	0.00272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.00181818181818	0.0	0.0	0.00272727272727	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.00181818181818	0.0	0.000909090909091	0.0	0.0	0.0	0.0	0.00181818181818	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.00454545454545	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.000454545454545	0.000454545454545	0.0	0.0	0.00181818181818	0.000909090909091	0.000454545454545	0.000454545454545	0.0	0.00136363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.00136363636364	0.0	0.0	0.00181818181818	0.0	0.0	0.0	0.0	0.000909090909091	0.000454545454545	0.0	0.0	0.0	0.000454545454545
D_0__Archaea;D_1__Candidate division YNPFFA;D_2__uncultured archaeon;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Candidate division YNPFFA;Other;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.000454545454545	0.0	0.000454545454545	0.0	0.000454545454545	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.000909090909091	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.00181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.000454545454545	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanobacterium;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.000909090909091	0.0	0.0	0.000454545454545	0.0	0.00136363636364	0.00136363636364	0.0	0.0231818181818	0.00590909090909	0.0	0.000909090909091	0.0	0.0	0.0	0.0	0.000454545454545	0.00636363636364	0.000454545454545	0.000454545454545	0.0	0.000454545454545	0.0	0.0	0.0	0.000909090909091	0.000454545454545	0.0	0.000454545454545	0.0	0.00136363636364	0.0	0.0	0.00545454545455	0.0	0.000454545454545	0.0	0.0	0.00318181818182	0.0	0.0	0.0	0.000454545454545	0.00227272727273	0.0	0.000454545454545	0.000454545454545	0.00136363636364	0.0	0.0	0.000454545454545	0.0	0.000454545454545	0.00363636363636	0.0	0.00272727272727	0.0	0.0	0.0	0.0	0.00409090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.00545454545455	0.0	0.0	0.000909090909091	0.0	0.0	0.00227272727273	0.0	0.00272727272727	0.000454545454545	0.0	0.0	0.005	0.00181818181818	0.0	0.0	0.000454545454545	0.00136363636364	0.0	0.000909090909091	0.0	0.000454545454545	0.00136363636364	0.0	0.00545454545455	0.0	0.0	0.00727272727273	0.0	0.000454545454545	0.000909090909091	0.000909090909091	0.00227272727273	0.00136363636364	0.0	0.0	0.00181818181818	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanobacterium;D_6__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.000909090909091	0.0	0.00454545454545	0.00181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00227272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.0	0.0	0.00136363636364	0.000454545454545	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.000909090909091	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.00181818181818	0.0	0.0	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.000454545454545	0.0	0.0	0.0	0.000909090909091	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.00136363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__uncultured;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanoregulaceae;D_5__Methanolinea;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00227272727273	0.0	0.000454545454545	0.00318181818182	0.0	0.0136363636364	0.00363636363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.00181818181818	0.0	0.0	0.000454545454545	0.0	0.0	0.00272727272727	0.000454545454545	0.0	0.000909090909091	0.000454545454545	0.000454545454545	0.0	0.00136363636364	0.000454545454545	0.0	0.0	0.000454545454545	0.0	0.000909090909091	0.0	0.000454545454545	0.000909090909091	0.000909090909091	0.0	0.0	0.0	0.0	0.00136363636364	0.00181818181818	0.000909090909091	0.000909090909091	0.000909090909091	0.0	0.0	0.0	0.000454545454545	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.00181818181818	0.0	0.0	0.000454545454545	0.000454545454545	0.000454545454545	0.000454545454545	0.0	0.000454545454545	0.000454545454545	0.000454545454545	0.0	0.00272727272727	0.000454545454545	0.0	0.00136363636364	0.000454545454545	0.0	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.00227272727273	0.0	0.0	0.00227272727273	0.0	0.0	0.0	0.000909090909091	0.00136363636364	0.000454545454545	0.0	0.000454545454545	0.0	0.000909090909091
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanoregulaceae;D_5__Methanolinea;D_6__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136363636364	0.0	0.00318181818182	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.000454545454545	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.000909090909091	0.0	0.000454545454545	0.000909090909091	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.0	0.0	0.000909090909091	0.0	0.0	0.000454545454545	0.0	0.000454545454545	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanoregulaceae;D_5__Methanolinea;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.0	0.0	0.00136363636364	0.0	0.005	0.00227272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136363636364	0.0	0.0	0.0	0.000454545454545	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.000454545454545	0.000909090909091	0.0	0.0	0.0	0.0	0.0	0.00136363636364	0.000454545454545	0.000909090909091	0.000909090909091	0.0	0.0	0.0	0.000909090909091	0.0	0.000454545454545	0.0	0.000454545454545	0.0	0.000454545454545	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.000454545454545	0.000909090909091	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.00136363636364	0.0	0.0	0.000454545454545	0.0	0.000454545454545	0.000454545454545	0.0	0.0	0.000454545454545	0.000454545454545
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanoregulaceae;D_5__Methanoregula;D_6__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00272727272727	0.0	0.00136363636364	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.000454545454545	0.0	0.0	0.000454545454545	0.000909090909091	0.000454545454545	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000454545454545	0.000454545454545	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.000909090909091	0.0	0.0	0.000454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
