PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,S9,S12,S2,S16,S3,S15,S14,S10,S11,S66,S8,S1,S7,S5,S13,S4,S6,S18,S19,S20,S21,S22,S23,S24,S25,S82,S83,S84,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S17,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S26,S27,S28,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112
1324,(12 or 13)-methylmyristate (a15:0 or i15:0),Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499,241.2173,2485-71-4,151014,133106,,,1.6449,0.0262,1.3146,0.0658,0.4036,0.3837,2.5466,0.3698,0.4782,1.5118,0.0262,2.3378,0.1528,0.0821,0.1888,0.0759,2.4201,0.2972,0.5772,0.2567,5.3222,4.6433,6.5015,0.5803,0.5136,2.4425,5.8951,1.5194,1.8223,1.6875,0.7117,0.0359,1.979,0.4452,8.3335,5.1888,0.1279,0.5032,0.0372,1.4403,0.3764,0.0424,2.8879,0.0763,2.4012,0.1107,1.0061,0.3493,0.3684,4.4841,6.1339,0.0886,0.0262,3.4555,1.2693,1.4327,1.2288,2.6978,1.2464,0.0865,0.3766,0.1671,4.0528,0.6948,0.4471,0.8636,0.0284,5.1257,0.8077,0.8887,1.8787,0.3503,2.043,0.7212,0.3194,0.1313,0.7138,2.9318,1.1166,0.1862,0.2882,2.0472,2.867,1.8204,2.5927,6.8996,0.9939,0.0577,1.7882,1.4284,5.7116,1.3831,0.8727,2.3352,0.0281,1.4757,2.7177,2.1252,3.619,0.0994,0.4572,0.9584,2.1163,0.5711,0.8359,4.0824,7.4521,0.428,2.8954,7.2601,4.4315,0.8029
1327,(14 or 15)-methylpalmitate (a17:0 or i17:0),Lipid,"Fatty Acid, Branched",38768,LC/MS Neg,100002945,5695,269.24868,,17903417,,,,0.3996,0.7898,5.8609,0.6479,1.9988,4.7627,2.2684,3.5547,6.3663,0.557,0.2234,5.0628,1.4909,1.0563,3.9764,1.6999,0.8237,0.7539,0.4771,0.5955,2.3229,3.7269,2.2224,4.9166,0.3236,0.8353,1.178,2.1066,0.9547,0.4104,0.2795,0.2638,0.7782,0.8597,7.6971,2.6314,0.8151,0.5279,0.2311,0.7842,1.5698,0.361,0.5118,0.9634,0.9405,0.6866,0.5571,0.4357,0.4687,1.0877,1.6167,0.735,0.879,0.2164,0.7662,0.2164,1.0396,2.2292,0.2861,0.8482,1,2.4321,0.8758,0.6034,0.6839,0.4865,0.2679,2.5705,1.8277,6.5005,5.9031,7.3557,1.1654,5.8377,1.3208,1.847,1.3573,12.5126,0.6998,1.8196,1.6443,1.5789,4.5973,0.9285,1.3489,0.5746,0.4943,0.5338,0.3705,0.8694,5.7736,4.424,2.0125,1.3879,0.311,0.2164,2.6012,4.1814,1.0997,2.7539,0.3493,0.2433,0.4292,0.9615,0.6945,1.6285,0.2164,2.1825,2.1993,3.9525,6.7056,0.5585
3937,(15:2)-anacardic acid,Xenobiotics,Food Component/Plant,41397,LC/MS Neg,100003472,5565,343.22786,11034-77-8,11824131,9998782,,HMDB33896,6.3666,0.0237,0.0237,0.0237,0.0237,0.3556,0.0953,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0914,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,5.3533,1.0436,0.0237,1.1537,0.0237,0.0237,1.1767,0.2915,0.0237,0.0237,0.0237,0.0237,0.0237,4.3805,0.2698,0.0237,0.2524,0.0237,0.0237,0.0237,0.0412,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,1.7414,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.1295,0.2088,0.0237,0.0237,0.0237,2.8843,0.0237,0.0237,2.1676,0.0237,2.0768,0.0237,0.0237,0.1885,0.0237,0.0237,0.0237,2.0413,0.0237,0.0237,0.0237,0.0237,0.0237,0.2559,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,8.2595,0.0237,0.9564,0.0237,0.0237,0.0237,2.3329,0.0237,0.0237,0.0237,7.8571,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.0237,0.075
1331,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,2724-59-6,3083779,2340933,,HMDB37397,0.4521,0.9123,29.0455,0.7203,1.1111,9.0798,1.9674,2.5813,3.0737,0.5389,0.3804,2.961,1.105,0.6478,2.5736,2.5359,1.3852,0.5549,0.4438,0.5441,1.4077,4.4388,2.858,2.8928,0.402,0.3291,1.0536,2.2107,0.8281,0.5523,0.5161,0.3178,0.9563,2.4537,14.6311,6.1484,0.7382,0.6616,0.4038,0.6455,1.3272,0.5586,0.3912,0.7602,1.4124,0.5661,0.9938,0.707,0.5565,0.8185,1.0038,0.578,1.0027,0.9258,0.7669,0.5057,0.8815,2.283,0.5511,1.41,0.5126,1.6591,1.0489,0.5964,0.6557,0.2942,0.4009,2.2052,1.9846,3.6394,3.9306,4.449,0.9234,3.6538,1.0608,2.3414,0.8405,11.7019,0.4938,0.9323,1.8973,1.6111,3.6673,0.6726,0.899,0.7533,0.812,0.9157,0.7289,1.6636,7.0884,8.7148,1.3374,1.8238,0.7914,0.2201,3.1843,13.4754,0.9973,3.0955,0.5736,0.3288,0.5613,1.1085,1.5688,1.4447,53.2041,3.1865,1.7467,6.2021,4.8136,0.7998
3600,(3'-5')-adenylyladenosine*,Nucleotide,Dinucleotide,62396,LC/MS Neg,100020723,2173,595.14199,,94231,85040,,,0.7684,0.0566,2.4747,0.515,0.0566,2.1824,2.935,0.0566,0.9758,3.8498,0.4677,3.2287,0.0566,0.0566,1.0947,0.0566,4.5231,0.1949,0.4367,0.0566,2.5944,1.3807,5.6574,0.0566,0.2614,9.0751,3.0995,0.4681,0.5828,0.6903,2.8063,1.6488,1.309,1.9666,4.6093,7.6394,0.1759,0.1377,0.3748,1.7907,0.0566,0.4641,0.6591,0.0566,1.1891,0.0566,0.3387,0.6801,0.1664,0.6267,2.3583,0.5885,1.3537,2.1523,0.6972,1.5754,0.1183,0.2159,0.3433,0.8667,2.0462,0.7025,2.1395,3.3599,0.7748,1.794,0.1511,2.0689,0.5134,0.3275,0.0566,0.1513,3.113,0.7073,0.118,0.0566,0.7944,0.8441,1.4733,0.0566,0.0566,2.5126,3.2757,0.6839,1.0042,4.0913,1.3763,0.8974,0.9358,1.192,4.0124,2.041,3.03,3.9919,0.0566,1.2649,0.5286,2.2197,1.2441,0.1569,0.6175,0.3274,0.0629,3.7774,0.8777,0.8661,2.1613,0.9958,0.0566,3.4639,2.8429,0.256
3597,(3'-5')-adenylylcytidine,Nucleotide,Dinucleotide,52753,LC/MS Neg,100009062,1920,571.13076,4833-63-0,10875494,9050769,,,0.5768,0.1238,0.7245,0.2727,0.3045,1.785,2.6889,0.0685,0.0685,1.5139,0.1641,1.4594,0.0685,0.0685,0.0685,0.4035,3.2048,0.0887,0.108,0.0685,2.4249,1.5936,1.3132,0.0685,0.1133,5.558,1.9348,0.2875,0.5642,0.5363,0.7942,0.3477,3.0885,2.1068,2.5397,10.9167,0.0685,0.1325,0.0685,1.4606,0.0685,0.0685,0.3831,0.0685,6.9336,0.0685,0.2898,0.704,0.2129,0.9968,0.6916,0.0685,1,2.8286,0.5105,1.3093,0.0685,0.0685,0.0685,0.3342,1.1114,0.6324,2.0571,1.2103,1.1558,0.8365,0.0685,1.3163,0.3836,0.0685,0.0685,0.0685,9.6982,0.2345,0.1157,0.0685,3.3549,0.5259,1.3847,0.0685,0.0685,2.1391,1.1397,0.323,0.5061,2.5492,0.7998,0.529,1.2202,0.7019,2.6256,1.5523,1.7239,2.1525,0.0685,0.4329,0.2044,0.5961,1.7216,0.0685,1.0404,0.0685,0.0685,2.2031,1.2853,1.0243,0.8674,0.9196,0.0685,2.5494,1.552,0.0685
3598,(3'-5')-adenylylguanosine*,Nucleotide,Dinucleotide,62760,LC/MS Neg,100020724,1980,611.13691,,444337,392294,,,0.4689,0.1273,2.2091,0.7054,0.7157,2.172,3.7967,0.0746,0.7913,3.7639,0.3327,1.8421,0.0746,0.0746,0.8512,0.2263,7.5058,0.3766,0.4661,0.0746,2.2365,0.9505,4.384,0.0746,0.2211,6.7003,3.6614,0.3975,0.4958,0.8722,2.434,1.4232,1.2008,2.0894,5.4039,10.9875,0.2251,0.1347,0.3229,0.9018,0.0746,0.2518,0.5854,0.0746,1.856,0.0746,0.2685,0.6059,0.119,0.855,2.1925,0.6626,1.1804,2.3768,0.5826,1.2196,0.0746,0.2205,0.4244,0.849,1.3121,0.6414,3.1253,2.6534,0.907,1.5193,0.0889,1.665,0.4319,0.1363,0.0746,0.0746,5.3343,0.6706,0.1127,0.0746,0.98,0.6903,2.6341,0.0746,0.0746,3.0659,1.5059,0.4196,1.0469,4.742,1.7882,1.02,0.7362,1.1783,4.6816,1.6655,2.8269,4.1703,0.0746,0.8868,0.8669,1.4688,0.938,0.0746,0.7856,0.4491,0.0746,3.1023,1.2236,1.0543,2.0305,1.4803,0.0746,4.3449,3.5148,0.0746
3599,(3'-5')-adenylyluridine,Nucleotide,Dinucleotide,52740,LC/MS Neg,100009060,2002,572.11478,3051-84-1,112074,100483,,,0.562,0.3975,1.3071,0.6258,0.4049,3.9438,2.8068,0.0336,0.3236,1.517,0.5859,1.7552,0.0336,0.0336,0.3234,0.3776,4.9148,0.2168,0.6819,0.0336,3.3124,1.7325,1.6791,0.0336,0.5055,6.4465,3.397,0.4883,0.5917,0.7422,1.2265,0.6532,2.6455,2.6564,1.7256,10.3732,0.1203,0.1356,0.2459,1.493,0.223,0.0901,0.9669,0.0921,5.8761,0.0336,0.7529,0.55,0.3035,1.6168,0.8194,0.1915,1.5673,3.0173,1.4302,1.551,0.1847,0.158,0.1344,0.6303,1.0894,1.1513,1.4975,1.5918,1,0.7708,0.0708,1.7274,0.6727,0.0336,0.0546,0.0336,9.5825,0.6783,0.1413,0.0784,1.7905,0.7636,1.9704,0.0849,0.1339,2.4095,1.255,0.748,0.7528,2.2903,1.2726,1.0467,1.7345,1.6094,2.0382,1.2118,1.8395,1.6399,0.0336,0.6276,0.4971,0.8063,2.3388,0.2737,1.0511,0.1911,0.0892,2.4263,1.1684,1.5698,2.0454,1.1822,0.0336,3.6625,3.2348,0.1671
3602,(3'-5')-cytidylylcytidine*,Nucleotide,Dinucleotide,62397,LC/MS Neg,100020727,1472,547.11953,,94237,85046,,,0.3934,0.1489,0.1489,0.1489,0.1489,0.42,1.5548,0.1489,0.1489,0.1489,0.1489,0.4521,0.1489,0.1489,0.1489,0.1489,3.9771,0.1489,0.1489,0.1489,1.7923,1.343,1,0.1489,0.1489,2.2783,1.6287,0.1489,0.3815,0.3824,0.1489,0.1489,1.1364,0.4182,2.1691,3.9478,0.1489,0.1489,0.1489,0.97,0.1489,0.1489,0.1489,0.1489,2.5304,0.1489,0.1489,0.1489,0.1489,0.6079,0.1489,0.1489,0.6559,1.7957,0.1489,0.259,0.1489,0.1489,0.1489,0.1489,0.1676,0.1489,1.2244,0.1489,0.1489,0.1489,0.1489,1.1594,0.1489,0.1489,0.1489,0.1489,4.8711,0.1489,0.1489,0.1489,1.7183,0.1489,0.6887,0.1489,0.1489,1.6993,0.4575,0.1489,0.1489,2.767,0.186,0.1489,0.1679,0.3121,2.604,1.109,0.2265,1.5593,0.1489,0.1489,0.1489,0.1489,2.5529,0.1489,0.169,0.1489,0.1489,0.5635,0.4411,0.8023,0.1489,0.2514,0.1489,1.8111,1.1679,0.1489
3603,(3'-5')-cytidylylguanosine,Nucleotide,Dinucleotide,52745,LC/MS Neg,100009063,1537,587.12567,2382-65-2,65101,58611,,,0.2356,0.2356,1.2682,0.2356,0.2356,0.6243,1.9824,0.2356,0.4494,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.4776,0.2356,0.4586,0.2356,0.2356,2.2774,3.6871,0.2356,0.2356,1.4452,1.9756,0.2356,0.2356,0.2356,1.4233,0.302,0.2356,0.5906,4.4133,0.9465,0.2356,0.2356,0.2756,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.4296,0.2356,0.9984,0.5568,0.2356,0.2356,0.5556,0.7178,0.8305,0.2356,0.2356,0.3985,0.7415,0.2356,0.2356,1.1056,1.6211,0.2356,0.5782,0.2356,1.3549,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,1.0471,0.2356,0.2356,0.2356,1.3037,1.9328,0.2356,0.2356,5.9257,0.983,0.2356,0.2356,0.3489,4.8556,1.1975,0.2356,3.6007,0.2356,0.4808,0.2356,1,0.719,0.2356,0.772,0.2356,0.2356,1.4008,0.2356,1.7551,1.1512,0.2356,0.2356,1.666,1.0804,0.2356
