	S25	S1	S110	S22	S9	S50	S24	S26	S27	S62	S11	S85	S61	S63	S54	S101	S19	S99	S30	S47	S87	S38	S91	S56	S51	S98	S109	S14	S16	S43	S112	S100	S96	S65	S106	S39	S67	S57	S32	S46	S77	S36	S10	S55	S37	S12	S40	S35	S48	S94	S34	S64	S93	S72	S111	S2	S88	S108	S95	S89	S83	S60	S97	S20	S6	S69	S42	S13	S68	S18	S49	S7	S80	S15	S76	S74	S107	S17	S102	S92	S81	S105	S29	S70	S59	S104	S23	S75	S41	S53	S52	S113	S58	S73	S90	S33	S8	S103	S31	S82	S3	S4	S66	S5	S79	S21	S84	S78	S71	S28	S44	S45	S86
S25	0.0	0.38491739553	0.377763899018	0.471586909773	0.456467249753	0.45277787555	0.588371272395	0.522741385689	0.413851458234	0.604945925191	0.518170628772	0.604128146584	0.569521148903	0.63204837198	0.66873208245	0.724753734548	0.316536597087	0.476870223023	0.459008457992	0.499660057808	0.502002017537	0.530130779462	0.462822885253	0.697767159346	0.41167065301	0.602927257937	0.338911097318	0.548797977985	0.611577444185	0.533810366075	0.680522141524	0.706887780231	0.701144501235	0.577314422603	0.496496249193	0.450314124895	0.73171943028	0.506899532119	0.671194733245	0.581006396568	0.606930140815	0.588869789088	0.481912122275	0.522482553757	0.594779665012	0.452381962003	0.385019090691	0.592601385979	0.475448865352	0.570283169245	0.584560307439	0.599617608051	0.601065816606	0.694827569087	0.443552950271	0.449263128364	0.6947197429	0.495847307473	0.528410703368	0.551203309525	0.451812737089	0.672873331199	0.609977639092	0.433134352078	0.450077028166	0.648702009089	0.715203061875	0.523970983446	0.530907468382	0.491199396055	0.530858343751	0.625720323166	0.496444587959	0.451142172998	0.510955983235	0.673175525122	0.527102839397	0.471125425567	0.632460215013	0.499467213923	0.46423291938	0.575290035723	0.471108357081	0.550007279222	0.56415341666	0.553707095984	0.582395905436	0.615201659403	0.592494889031	0.413606620547	0.629786770252	0.532619890244	0.548224063566	0.57802523267	0.589420707103	0.351106912436	0.724204889071	0.600571172835	0.419424087053	0.622316046708	0.372779772914	0.418567687916	0.620414488459	0.516702173268	0.453865333801	0.551759831554	0.594472127672	0.573109422988	0.617864519303	0.397361871249	0.522194212203	0.592097014341	0.502259027728
S1	0.38491739553	0.0	0.32990221009	0.522458399052	0.446842422047	0.526875523621	0.639379515036	0.506450544221	0.344013433758	0.579184446564	0.410121048134	0.556092615473	0.552300845421	0.682623135164	0.672130474403	0.710605844379	0.303102638944	0.456443835719	0.501104867172	0.388261311756	0.455703415473	0.567711186063	0.471649579115	0.69996168503	0.420036033373	0.610621620294	0.341457374065	0.563454447691	0.601713104134	0.464572337147	0.693357924191	0.714874032236	0.656338529883	0.472419445745	0.527144101971	0.511605293701	0.667158318212	0.515354475868	0.623556891565	0.607825674113	0.554975970497	0.576765995691	0.463859942277	0.477062767783	0.58185593952	0.409353069018	0.258164107782	0.659046052356	0.49567690402	0.567340687755	0.466772533511	0.56869985337	0.584964317479	0.699875611221	0.376643770556	0.326643652633	0.652171979265	0.446692572584	0.501834684305	0.582749558316	0.408647817821	0.703393429309	0.637846867526	0.39685854179	0.376500388406	0.605133340133	0.700710243246	0.482205026135	0.404124658698	0.444716762088	0.550414982204	0.630018176524	0.508921458223	0.406825629175	0.375026501281	0.714233974931	0.514132629055	0.556029641089	0.641020930233	0.457039676015	0.495536678001	0.607239461139	0.493640126674	0.540923256884	0.524856635513	0.479595913915	0.617534356668	0.615672872871	0.607429836475	0.489916027147	0.629346946085	0.545199020089	0.559408568256	0.481964387653	0.57974517984	0.391970485361	0.699198859278	0.613135674324	0.335290599434	0.649689109584	0.281281648386	0.282366550394	0.640175404991	0.448470768895	0.500912769519	0.582931263316	0.573552151672	0.610189493874	0.617727913752	0.375722247789	0.5496958454	0.55412154816	0.5651556946
S110	0.377763899018	0.32990221009	0.0	0.501536052737	0.477957618716	0.492061549394	0.601283893727	0.436016295414	0.365572474895	0.556236175984	0.49228506615	0.56473332294	0.519061936144	0.654290773374	0.609381267369	0.698969475712	0.309621311993	0.486272126987	0.426968080872	0.376375274533	0.506717281587	0.541188242998	0.420358270083	0.68108305303	0.393047317719	0.605994401176	0.356863688212	0.486154364672	0.615909872344	0.492790470577	0.665638323138	0.707131116376	0.635487664973	0.524720791694	0.477865581187	0.49297239557	0.675249195453	0.515146705147	0.64038248688	0.576361307437	0.542390881957	0.522866495655	0.43304383853	0.469711592841	0.564216985825	0.33057131259	0.273871485553	0.588796834632	0.466060949504	0.531632409618	0.501850254802	0.508084822652	0.579756143685	0.715489746513	0.354056704581	0.383114205813	0.670131147033	0.42164502475	0.435026969475	0.565193398137	0.425507710123	0.663181132337	0.584142013705	0.391717264674	0.379071354763	0.581774089567	0.662009904791	0.447542888738	0.486120133847	0.41061660965	0.510995602519	0.621559410503	0.45655539073	0.346864443993	0.430804223137	0.682470183912	0.507815996754	0.479460665106	0.623350488723	0.402806641192	0.440732774866	0.573353805459	0.45797673127	0.533381646888	0.552896552745	0.532823954759	0.569806643007	0.601763454582	0.578371935536	0.477822392162	0.634160257914	0.492978704803	0.535379690405	0.552243504109	0.51840993767	0.412841947344	0.7010556972	0.584750846093	0.412827366346	0.622419955991	0.332670334496	0.36772017208	0.600600631915	0.430634563437	0.504669973983	0.508797463835	0.565352435467	0.592110395335	0.591048026342	0.32686635041	0.541580396953	0.507268993435	0.550875759793
S22	0.471586909773	0.522458399052	0.501536052737	0.0	0.589447533872	0.340528077085	0.441367173092	0.518043058031	0.51386663276	0.541446131227	0.557420187255	0.532750733898	0.527831002979	0.539388974666	0.554403285326	0.633521868711	0.453743633547	0.436359312925	0.608522608836	0.493133557807	0.504787901409	0.568244226582	0.469707554658	0.584052027059	0.439810002783	0.616971764859	0.510500278163	0.469494027368	0.716124080148	0.682458635395	0.588003036269	0.652945441089	0.619550565211	0.568912323701	0.435390176388	0.50018137062	0.653586472174	0.539850277131	0.754759553653	0.49745	0.527909140406	0.558842456234	0.534128003497	0.490671516074	0.529082149136	0.543101598197	0.544285906918	0.519224189374	0.518310853843	0.499676798549	0.547259094223	0.530748489893	0.556372790156	0.667754234302	0.558666630537	0.508911479973	0.67877482441	0.493737480464	0.466249989673	0.485507246377	0.463519105235	0.564324574734	0.530270521772	0.560566895935	0.589267880047	0.532323095008	0.661483606224	0.5366105276	0.437893522024	0.584223719166	0.428790627236	0.476360120911	0.491167951466	0.557966567758	0.491103546818	0.588951502018	0.660683188341	0.538235336711	0.503055139005	0.464885106943	0.498156594798	0.47030708983	0.48485171323	0.49443745078	0.472991407172	0.560746804176	0.57164367607	0.516581192862	0.448811146449	0.521557263358	0.559553348927	0.462766946085	0.45600673678	0.546585253759	0.522528737257	0.539807046639	0.649260423459	0.477128924551	0.552266368052	0.530248608953	0.513717693066	0.514417771856	0.508609764268	0.615006135822	0.490138186328	0.441023752201	0.455320976496	0.466154807247	0.580906257045	0.503605784564	0.482543094277	0.577748540263	0.320472287004
S9	0.456467249753	0.446842422047	0.477957618716	0.589447533872	0.0	0.555868925474	0.653052543897	0.552075777119	0.513953508904	0.630168473541	0.481449642628	0.554458972114	0.617216349468	0.663423145742	0.701534384125	0.764339601411	0.498612156449	0.542073017632	0.504984589879	0.459849937952	0.533586029956	0.554830106419	0.53740135211	0.717038440593	0.472679225515	0.631729698394	0.42637916721	0.602939971623	0.5924789617	0.517961116752	0.72580139988	0.70109460906	0.642727643065	0.573571854617	0.60364802994	0.556508542841	0.693249616581	0.413725764478	0.595166544653	0.672283509277	0.613749122879	0.639922751766	0.488430904817	0.570320880102	0.619796798644	0.370962697679	0.492507760283	0.66505583306	0.57693670898	0.632577506414	0.559335454899	0.644163513582	0.623812323423	0.747520748964	0.488447627629	0.439526806051	0.654253326508	0.559246510006	0.595646816211	0.636909012756	0.487630215149	0.703563278769	0.669024790803	0.481779858138	0.509328639163	0.659434342369	0.712032047255	0.591729653167	0.584337035687	0.52218733401	0.594663979531	0.6423881465	0.579845216402	0.480606839252	0.569751846714	0.708480429672	0.611626817221	0.503399325139	0.694030128435	0.543097498091	0.593182181863	0.662997988635	0.326855319125	0.611718840917	0.567812408699	0.601514157467	0.611574020096	0.572150100909	0.633228268217	0.514049200067	0.701878775152	0.615400672763	0.601053469338	0.585522918158	0.644037387598	0.352741920718	0.720065197618	0.672618310963	0.424246078738	0.669310862749	0.439771134204	0.476404039235	0.690841232187	0.475335481806	0.546887305511	0.55795544052	0.622576611545	0.616338991919	0.674869471025	0.481992371636	0.584073632885	0.614971188354	0.628868872146
S50	0.45277787555	0.526875523621	0.492061549394	0.340528077085	0.555868925474	0.0	0.492657827386	0.512913209347	0.549248196925	0.508847758142	0.520520063798	0.522116913906	0.548230838059	0.544693292528	0.595308528785	0.66400893739	0.432869476423	0.456904494741	0.577344098474	0.535377281671	0.437680738505	0.52159818571	0.413257304144	0.595829347734	0.432160745744	0.586240726817	0.517364974886	0.463996964024	0.694360168745	0.658579905253	0.624793365523	0.663332018206	0.673989614796	0.56302421127	0.399663256635	0.449535924671	0.659665570317	0.507208185692	0.698775044176	0.541137532461	0.464615786376	0.555315177496	0.568735901636	0.483303494161	0.516030948103	0.554323950385	0.54858338301	0.484023804021	0.42817853136	0.479115896855	0.540225404315	0.547408362595	0.531329097895	0.648467967048	0.53949031329	0.482463010266	0.642546182997	0.500165469738	0.454151482153	0.514466367418	0.427730295825	0.577965313151	0.567091362403	0.54971971728	0.605838144909	0.523728213581	0.666165870063	0.546228664384	0.487425455603	0.540499711545	0.46521836142	0.526704070687	0.494815283052	0.568226000326	0.487692225669	0.580765217982	0.64289451108	0.503254396548	0.538051392804	0.450101659974	0.510151808218	0.476901714221	0.456010367595	0.505782214588	0.466671162181	0.514762512376	0.55403691434	0.547899186396	0.506074245389	0.49476229918	0.534271130633	0.481350786316	0.506566166304	0.550828540267	0.491401314442	0.503213416428	0.657004478984	0.441420161375	0.501841488153	0.565264363473	0.519818250213	0.510667382233	0.501148457633	0.619836000174	0.502223301231	0.452936604404	0.485792834874	0.537858082564	0.572842376374	0.514878827072	0.48030583097	0.591546588731	0.385384593814
S24	0.588371272395	0.639379515036	0.601283893727	0.441367173092	0.653052543897	0.492657827386	0.0	0.627258049797	0.600751138444	0.648505623855	0.652432021133	0.577151136733	0.619536258326	0.644110611824	0.602575632854	0.706815895147	0.554038997835	0.535949697911	0.682370272784	0.60678826019	0.599763449788	0.446137908378	0.527550523226	0.650951742601	0.593928168691	0.700439499281	0.614243069238	0.487940520307	0.783858020556	0.747172473751	0.571454415516	0.743384787933	0.708921217124	0.661775409428	0.473543298361	0.590285941134	0.733286716029	0.661360636218	0.805434848256	0.593906322125	0.608990152672	0.609462149503	0.581204894569	0.588391148684	0.588160267868	0.595190556688	0.639929358173	0.539123211734	0.59811976374	0.541028304944	0.663162923329	0.564251866221	0.623603068953	0.708382451604	0.600430928015	0.59438056307	0.74423941181	0.599699960032	0.497103863402	0.569895911902	0.544494787065	0.491601741366	0.572642736712	0.583589075803	0.672153005318	0.600091953669	0.722069793449	0.626189755135	0.560040269464	0.68163931402	0.468242811852	0.552086610812	0.593075015971	0.65841818959	0.567579805136	0.518241462457	0.747432648418	0.490551972866	0.594721078457	0.566873637228	0.604475540819	0.497183249868	0.563286105586	0.578790815017	0.581527898295	0.638652167185	0.437386731733	0.647095118503	0.535191510308	0.586797444445	0.594463755914	0.514794460855	0.52590499606	0.641550126643	0.636234716978	0.645239526685	0.727875599363	0.529802314001	0.62380656633	0.625570811273	0.617483258153	0.616437713708	0.533544979943	0.699340827969	0.624051227871	0.391200914798	0.573477837156	0.564479607705	0.648495397793	0.604381813046	0.615792939791	0.658213759009	0.485979351799
S26	0.522741385689	0.506450544221	0.436016295414	0.518043058031	0.552075777119	0.512913209347	0.627258049797	0.0	0.535424278456	0.402231161344	0.59866554831	0.526643212522	0.469842282034	0.554517881206	0.550517829168	0.644193327279	0.48605886442	0.527313141226	0.596205426698	0.550014640555	0.563694546245	0.655118756175	0.47296724354	0.593143184377	0.44974577941	0.514839361262	0.530426501583	0.551757814187	0.697147735642	0.644920676392	0.632945176167	0.566201786803	0.58980351524	0.456281568696	0.523745222952	0.496703632323	0.548640206554	0.499142256065	0.724423703277	0.536646300419	0.483911572497	0.553296797715	0.582457956914	0.421179106458	0.506369715327	0.520723565598	0.485844739811	0.628823581135	0.466204041073	0.5000964826	0.413878135611	0.466499797117	0.50319265428	0.601064166847	0.570876398265	0.571559273156	0.562174086413	0.472788506712	0.468555935814	0.535550964165	0.429232137311	0.652673501444	0.587276937296	0.546285827243	0.565756059193	0.529909553129	0.530671868293	0.469719172737	0.435599992119	0.538916270828	0.5011059059	0.582322991803	0.467381407824	0.469342538528	0.446013453548	0.648399921002	0.67474919356	0.60056714604	0.586286273904	0.455490981064	0.478495984642	0.586017406429	0.492355634519	0.48431072582	0.576294135646	0.532349863289	0.687607559962	0.504949368861	0.545227084484	0.514472381791	0.547172422913	0.503796783406	0.507383889254	0.445945445071	0.387987103978	0.515680057683	0.567983855204	0.547016197243	0.579556129242	0.540140119066	0.506286215191	0.512996379035	0.580021146247	0.553364035759	0.463780452327	0.530727065935	0.493078870504	0.507473663679	0.528402946539	0.518027367553	0.534446764092	0.45352352951	0.535086051615
S27	0.413851458234	0.344013433758	0.365572474895	0.51386663276	0.513953508904	0.549248196925	0.600751138444	0.535424278456	0.0	0.616963273868	0.515150894031	0.585651704557	0.589888598001	0.628784229987	0.678098262041	0.737068303914	0.392874728958	0.517354529579	0.532036865833	0.47272978959	0.467444057197	0.495965094201	0.365222708683	0.699632934021	0.456864537759	0.661516477829	0.38088553631	0.516866756848	0.678480281347	0.527140130537	0.660778307875	0.770865926562	0.671495314216	0.568333276412	0.516014782466	0.561845111271	0.70509003332	0.521706806602	0.682216243901	0.619805212006	0.618231194178	0.634927780212	0.528801363588	0.438827030497	0.630034883156	0.405981121868	0.369547180425	0.604047704154	0.517445078445	0.578495293517	0.518806545875	0.616977248502	0.635823944284	0.76867668569	0.273656288744	0.374370573227	0.701501634621	0.506161370226	0.464302959233	0.600313659022	0.343746740928	0.649153391552	0.633526920978	0.41025685779	0.427341125517	0.644788526295	0.720331302452	0.510952569565	0.521332187542	0.516551194168	0.558544161809	0.675556059484	0.539507744636	0.436269157057	0.46138990447	0.679830657073	0.543718785607	0.467688824861	0.660130803331	0.516973753543	0.552298588152	0.589014423255	0.53881216522	0.576544121912	0.530429759545	0.518038463338	0.547000551424	0.612013339998	0.607581113515	0.481757965545	0.663581920628	0.543230242816	0.585462046982	0.58649180913	0.601659012425	0.456436416467	0.737141561647	0.592300602008	0.388040178283	0.673929236206	0.334433210446	0.397385751045	0.589867441156	0.471025994954	0.540357692291	0.514211033104	0.614518020395	0.626176736717	0.660888005604	0.437803913779	0.619931232322	0.591240709368	0.568639203809
S62	0.604945925191	0.579184446564	0.556236175984	0.541446131227	0.630168473541	0.508847758142	0.648505623855	0.402231161344	0.616963273868	0.0	0.568174504983	0.517448183479	0.42926835652	0.555829813655	0.520140715802	0.58414599863	0.56936030093	0.526007312057	0.624988700328	0.62915695408	0.609411804467	0.71409949546	0.537828244667	0.603931868821	0.455944534833	0.518518770534	0.609207442327	0.593803677492	0.715599800472	0.668120638228	0.624624295959	0.565794245544	0.626733136843	0.431852380873	0.555676195223	0.524945415717	0.438017179274	0.557530940847	0.684154507296	0.477111419144	0.409516830082	0.559350957912	0.655214229479	0.419928708789	0.405963169143	0.602672370053	0.578088248239	0.625284900499	0.496950387271	0.477661937155	0.393372743545	0.450736730493	0.405476098476	0.509137454065	0.627524381452	0.627754395397	0.545680753739	0.506403690096	0.48844325215	0.479612154005	0.51889992121	0.627089625869	0.552006847257	0.591488608133	0.636966018226	0.484155320019	0.486262330031	0.530422292382	0.428870141391	0.493245342143	0.511398717023	0.531828198213	0.512634151638	0.554416466738	0.44272354205	0.596638024914	0.717468192993	0.693900952971	0.544367264146	0.476173384309	0.531249169569	0.590374813536	0.535840036278	0.401803282747	0.535826836199	0.557727133297	0.733479424394	0.476154907633	0.530955049779	0.568311730055	0.461560371931	0.459830546713	0.481753431419	0.421351774547	0.321819292685	0.605392606019	0.589829033147	0.560427710479	0.640125708351	0.453947707301	0.57686744705	0.576321218236	0.548847959875	0.628698588728	0.496145837993	0.575660942946	0.420688381712	0.456226545371	0.440201187125	0.595694024937	0.517070329979	0.468189493965	0.51644535321
