	S25	S1	S110	S22	S9	S50	S24	S26	S27	S62	S11	S85	S61	S63	S54	S101	S19	S99	S30	S47	S87	S38	S91	S56	S51	S98	S109	S14	S16	S43	S112	S100	S96	S65	S106	S39	S67	S57	S32	S46	S77	S36	S10	S55	S37	S12	S40	S35	S48	S94	S34	S64	S93	S72	S111	S2	S88	S108	S95	S89	S83	S60	S97	S20	S6	S69	S42	S13	S68	S18	S49	S7	S80	S15	S76	S74	S107	S17	S102	S92	S81	S105	S29	S70	S59	S104	S23	S75	S41	S53	S52	S113	S58	S73	S90	S33	S8	S103	S31	S82	S3	S4	S66	S5	S79	S21	S84	S78	S71	S28	S44	S45	S86
S25	0.0	0.246562781198	0.525732617934	0.567480249817	0.554589781214	0.572543517119	0.406139198768	0.401985038164	0.388838312776	0.421870119121	0.354548289354	0.34217739504	0.314928387424	0.594459076181	0.451548629635	0.419861623991	0.303947936446	0.248152571368	0.457287566143	0.40022621678	0.289276605754	0.424255622055	0.261663877715	0.612368935396	0.517407602515	0.378572588605	0.234058736124	0.444426414923	0.702867730077	0.387914688462	0.449901805504	0.68244618174	0.661118791069	0.424594691435	0.458242654002	0.537691204095	0.599351360824	0.476060875932	0.707164701588	0.517275449704	0.422147265601	0.432825118289	0.51494540481	0.427639530337	0.401341592765	0.243289461382	0.187103400261	0.532597800156	0.31195065154	0.37948163681	0.347122033667	0.341611375961	0.251472152975	0.64378949556	0.387902866044	0.253660919017	0.693001305712	0.385372784091	0.121911875225	0.267717694807	0.231857025622	0.38358729562	0.33333918199	0.205809304111	0.39049848082	0.428841517798	0.53617696414	0.57904529856	0.603539495446	0.366205829366	0.290107416778	0.436717044349	0.483763449542	0.505706470294	0.491410141037	0.528215804696	0.576695803827	0.444266783398	0.270294422202	0.32502773018	0.324839275005	0.360187236594	0.559673386743	0.572295345769	0.336933800227	0.196729044586	0.613902347589	0.443918343949	0.470075395814	0.370426335172	0.49725771018	0.473420777742	0.253726852017	0.41356844404	0.405059087373	0.4101311757	0.537249992322	0.489082267428	0.268339698858	0.426999717925	0.313786534575	0.463380310973	0.529919980703	0.384120668314	0.168044579982	0.457413862602	0.403606924477	0.584774667381	0.389661295247	0.598706046559	0.647292042766	0.339981394154	0.317206488346
S1	0.246562781198	0.0	0.414721145455	0.478230658791	0.393830290909	0.504545695455	0.346306933423	0.362260055062	0.22780425	0.408237268182	0.485307985764	0.236189416692	0.412057399227	0.508843101575	0.361914919774	0.375635399085	0.311901136364	0.137144430022	0.358001590909	0.241153577273	0.197656668503	0.380918228856	0.115279781818	0.492852088494	0.416324281818	0.370031513636	0.184307654545	0.460379991356	0.692650204717	0.263837023396	0.276594104753	0.710839268182	0.650663434917	0.474524233466	0.304511673431	0.542739681818	0.600090983278	0.318555384431	0.696705451301	0.511740555463	0.472042204545	0.3349133079	0.359391403146	0.332124722727	0.477722228477	0.235587186364	0.177115936806	0.459572661255	0.223966710605	0.377070707714	0.276269225469	0.274804643981	0.29836024248	0.671653702074	0.206231757185	0.26239260761	0.682872602402	0.377306646331	0.232275854545	0.288821161365	0.174171644478	0.335221030257	0.384233407309	0.305718117119	0.229032331646	0.474861734731	0.578500598193	0.587205976274	0.471787304545	0.391169305511	0.270944571343	0.499259817378	0.50307398768	0.413352897458	0.342342127711	0.618059369656	0.420553521067	0.397667481	0.310428906874	0.231359922727	0.379344245814	0.244203598218	0.4001393228	0.565151363669	0.203834804545	0.283725343651	0.52642311005	0.461991330788	0.552301165481	0.280264518182	0.523348976455	0.465050118415	0.269778628616	0.464853244619	0.220856286364	0.32609406572	0.579297966137	0.382750764567	0.1704062	0.462221195699	0.275557278978	0.499573452605	0.614147118959	0.326398368182	0.231506581818	0.352846417305	0.426701882439	0.578250345723	0.508556269292	0.456298059091	0.68045434825	0.154742497805	0.261456583722
S110	0.525732617934	0.414721145455	0.0	0.349358215055	0.178071863636	0.423603604545	0.525774079665	0.492436412551	0.288015886364	0.690762795455	0.761811712888	0.333571262991	0.695357700893	0.41861731666	0.42045263706	0.652170893489	0.552170372727	0.41715051699	0.230515509091	0.292401768182	0.402236858293	0.482575203266	0.435339618182	0.475782897105	0.191484718182	0.612687577273	0.462942190909	0.643462431607	0.886080360676	0.23271285625	0.312255267227	0.910322813636	0.854735666621	0.779662449729	0.276062945591	0.779108645455	0.818493364108	0.216865272033	0.896855688884	0.730925594746	0.65795825	0.333803890975	0.30775365698	0.569416513636	0.780922704295	0.47308015	0.482456488755	0.452644234359	0.320360083184	0.614110623972	0.56392352006	0.504779929773	0.579676145492	0.874289554144	0.32396395748	0.52851889435	0.879680886912	0.56785156085	0.490706354545	0.667602839107	0.487345780531	0.498644297398	0.531883319009	0.607756301827	0.400214887057	0.667044999326	0.826312794159	0.840866968262	0.205745022727	0.671574678126	0.512230171567	0.606394716221	0.715945061431	0.653388174513	0.135215983348	0.761704327579	0.195886997238	0.504828297511	0.562269090363	0.39674795	0.620439740097	0.39584504083	0.183348435504	0.792918204682	0.341629886364	0.518103593846	0.369075467971	0.685822084498	0.673221183539	0.245707345455	0.729105901139	0.724128265268	0.493691472072	0.774756941749	0.40881685	0.233645733461	0.818277316923	0.351558471586	0.448891109091	0.747938636033	0.508434862756	0.69765886885	0.755995808136	0.538432659091	0.532963145455	0.286618178799	0.676255790471	0.802725012878	0.810759443648	0.525488431818	0.873077626685	0.454799460157	0.345841040288
S22	0.567480249817	0.478230658791	0.349358215055	0.0	0.412667839304	0.14116899034	0.339293649203	0.327218102366	0.394234171205	0.698754662011	0.760503460191	0.417034163594	0.704994260804	0.153001911436	0.412469330541	0.669586255104	0.526583957113	0.49623708723	0.363534079292	0.344010747971	0.463956799288	0.273457651283	0.491103717623	0.235108747379	0.438732563823	0.628158095082	0.535643765169	0.548322921088	0.8810680667	0.368390328238	0.400051981379	0.900731624902	0.855616522254	0.782975338167	0.356051411985	0.773747643819	0.812394908696	0.367435662762	0.889872189256	0.728333475445	0.603170553023	0.241008908272	0.2888963329	0.591174830017	0.776931536396	0.493925184044	0.540082865622	0.157496147912	0.420429884303	0.629702111416	0.600784239771	0.529757142946	0.61040046006	0.860643659947	0.444213231543	0.578796184863	0.874587157175	0.612817238652	0.54168297455	0.675129305456	0.519439250571	0.317182353324	0.492868522308	0.632162850525	0.445591033517	0.611830877498	0.819632185686	0.841095174212	0.479415690381	0.694946259648	0.541394920545	0.501497961248	0.713104540184	0.667732161799	0.396264696247	0.758459129006	0.441440725706	0.292615617277	0.610267778368	0.360879371744	0.625337911561	0.432255661755	0.428060845447	0.781950269904	0.431129510012	0.577466827849	0.221792850931	0.650843679184	0.574089114107	0.35162250263	0.674283594533	0.736787616197	0.516838915315	0.778135644027	0.481853250021	0.383979449195	0.814276350086	0.186563090502	0.515513617623	0.73863301453	0.571951249742	0.707908109344	0.757220186059	0.57517027808	0.552938837109	0.259322375749	0.55996411284	0.792199473306	0.81346460122	0.28037245994	0.863685588112	0.500262596811	0.389011284049
S9	0.554589781214	0.393830290909	0.178071863636	0.412667839304	0.0	0.485534604545	0.517492089128	0.555869206577	0.324913213636	0.668270459091	0.783370936024	0.311193840603	0.73878163848	0.486617955542	0.494573384107	0.623963669503	0.538761	0.377457520202	0.261591245455	0.257379486364	0.382083388372	0.520556258771	0.412190309091	0.438027296658	0.182136845455	0.567678468182	0.458481572727	0.626619238142	0.834958782591	0.210464327931	0.323336547025	0.862875431818	0.800560746095	0.752272229778	0.296037858898	0.745299727273	0.782979751937	0.143291696883	0.842424268756	0.717102837198	0.649647668182	0.424838112946	0.269847211177	0.553512186364	0.765463383763	0.502871513636	0.445033556228	0.497955193679	0.319455662805	0.579138806394	0.562579960162	0.483390338053	0.569461096115	0.829722110914	0.324276664364	0.492848472181	0.829285141064	0.521873684063	0.514852663636	0.645504672632	0.478599309447	0.521232072362	0.573775607177	0.573646303328	0.412092039103	0.65577248544	0.782780331638	0.800848378106	0.232580013636	0.662129032461	0.49058462177	0.664817485139	0.679736075384	0.645355159771	0.175325377145	0.812186081111	0.134760231159	0.576185321419	0.535918755852	0.420118368182	0.664240187164	0.361461187652	0.0789892466534	0.755507101621	0.310093795455	0.561880792588	0.35758700627	0.672170102424	0.713482308785	0.235055436364	0.713972943218	0.706633021212	0.497434223762	0.746739823021	0.409631368182	0.235565501038	0.785098234211	0.345140722134	0.413315709091	0.723403261502	0.473269681376	0.665077312376	0.807119270979	0.49458935	0.511702963636	0.302816278476	0.639503324973	0.764846469449	0.799664088193	0.474575713636	0.831938041194	0.429871550984	0.401854823332
S50	0.572543517119	0.504545695455	0.423603604545	0.14116899034	0.485534604545	0.0	0.374760858304	0.335183025683	0.422341827273	0.703282245455	0.76397824349	0.420411475998	0.711834693065	0.159425576037	0.439122557996	0.684727845611	0.575813204545	0.518357722313	0.410916159091	0.372144781818	0.456896898787	0.23882852899	0.505701768182	0.218820898226	0.47398105	0.646475318182	0.505974495455	0.565555917375	0.902450957743	0.395537563117	0.431151058268	0.911453890909	0.875154684135	0.769640180171	0.371814857039	0.772101422727	0.814164156958	0.42671256399	0.914655334602	0.721751163011	0.633927090909	0.299025226623	0.359120283913	0.607931654545	0.776577417505	0.513069318182	0.565901066727	0.168200249516	0.393988064776	0.648707221086	0.613223326979	0.555560654736	0.600163456098	0.877477443594	0.463049588288	0.54423508815	0.896352593404	0.64241398631	0.552280331818	0.674106520195	0.523551474662	0.294213161509	0.497925627225	0.654688785876	0.405483359455	0.637650770092	0.826064330086	0.791900600891	0.545726963636	0.637975820594	0.509592881955	0.544446555518	0.725594215829	0.688764774772	0.450798394478	0.726300453063	0.518432996091	0.254310767016	0.612858918649	0.387017818182	0.598048383122	0.418395961585	0.499638164015	0.790529742415	0.400228681818	0.541006882798	0.24723141582	0.661874657031	0.611848189532	0.379105422727	0.703554028132	0.742595438112	0.557947112185	0.768276456229	0.521607509091	0.388627069567	0.812983539849	0.181953676644	0.491110359091	0.725764541687	0.589007489361	0.708518627018	0.731714641947	0.5670729	0.556784513636	0.272891268968	0.551386070754	0.801268525997	0.813558457714	0.288096490909	0.876711957213	0.506726729602	0.346952954769
S24	0.406139198768	0.346306933423	0.525774079665	0.339293649203	0.517492089128	0.374760858304	0.0	0.210813418912	0.400881516473	0.482215458014	0.587529473833	0.397078457838	0.548655871741	0.357408215428	0.39380617357	0.46466698737	0.294806719341	0.339493509784	0.501618579002	0.370717721713	0.366008397317	0.329377459661	0.322281469517	0.421052309772	0.582435773266	0.433087050331	0.375615535038	0.329630286156	0.686062021306	0.478878184505	0.44748119513	0.701708405332	0.655345882144	0.545578598228	0.459103602284	0.560171972872	0.601106809666	0.473722229815	0.697980842739	0.490819727017	0.323535789056	0.284441088465	0.389274323178	0.425478474394	0.569405168334	0.314519504649	0.334369660639	0.294866909585	0.448128802152	0.432883307803	0.417769238595	0.348900111906	0.413619976674	0.664994305375	0.427280773342	0.36375521991	0.679943794989	0.410902217183	0.383319802257	0.462615189114	0.306656218252	0.275948945344	0.270633386632	0.426737435121	0.401221984043	0.327557060884	0.609044322746	0.624497520915	0.637655932481	0.468175803746	0.328495459892	0.30415627623	0.502886948871	0.536473456423	0.550995903744	0.605235404625	0.557135587839	0.302912327855	0.393818671953	0.299375589884	0.465869097444	0.350269925066	0.521335559541	0.582726853665	0.39867055321	0.432050056521	0.43392110344	0.417521329142	0.362484400092	0.471122971505	0.394363548975	0.529593896714	0.312334627341	0.54215490313	0.403712765904	0.519254272213	0.602241901973	0.333046727467	0.341361965707	0.504950186637	0.360044297715	0.502778299483	0.607079341645	0.363437243974	0.357159314806	0.354208660613	0.348978189211	0.592704482354	0.599126331271	0.390495108459	0.66521474508	0.330939580866	0.372737073723
S26	0.401985038164	0.362260055062	0.492436412551	0.327218102366	0.555869206577	0.335183025683	0.210813418912	0.0	0.401060502822	0.526693519441	0.592810270201	0.369603573892	0.532689408822	0.345311832651	0.36174618053	0.517996632998	0.399841866729	0.374713676429	0.485016996407	0.418894297538	0.31024771116	0.30157622101	0.382021002869	0.459030076594	0.573258681099	0.499573877847	0.386785488991	0.427604050859	0.763057044111	0.492938478454	0.459991799271	0.760002417291	0.732457085039	0.599987598909	0.457782682831	0.593073559759	0.634194424739	0.504402824011	0.775162251999	0.556608086055	0.459128314914	0.278952572424	0.429263594039	0.492167886947	0.615690946897	0.345240871142	0.38703005457	0.293835520691	0.437154107107	0.480138507585	0.425401503848	0.403584825486	0.441289393694	0.731852759013	0.439679961792	0.412286791773	0.748632767613	0.480580381992	0.351131519666	0.510950374406	0.368817376544	0.262127965593	0.357001168713	0.46617799909	0.397106289897	0.465279622556	0.666402201	0.699430227376	0.603906812342	0.520855547976	0.378822801968	0.383123299697	0.565643916094	0.576641819009	0.511651333148	0.509691000455	0.601565470668	0.259849004093	0.441057102858	0.274116858859	0.459755961801	0.390235227451	0.565296780355	0.627882754255	0.422916560964	0.399910159314	0.447274130935	0.468861852234	0.462914715314	0.481237596503	0.520005837224	0.579936373584	0.376094753784	0.598484610663	0.41105947072	0.497958408367	0.647605438208	0.337685884493	0.372703733672	0.555425701378	0.414442901319	0.568200263498	0.510409640746	0.445011464192	0.370583514436	0.376800422129	0.398941433241	0.636919763529	0.644882382901	0.427853619875	0.731186516172	0.394828419928	0.332742382802
S27	0.388838312776	0.22780425	0.288015886364	0.394234171205	0.324913213636	0.422341827273	0.400881516473	0.401060502822	0.0	0.526212627273	0.616020389681	0.199792514812	0.513275267012	0.433278155598	0.324899742303	0.490378236332	0.416300104545	0.275212183896	0.307930222727	0.233203163636	0.242388728622	0.362378489063	0.200097568182	0.459606444474	0.308385813636	0.478822345455	0.307907759091	0.483853580697	0.773796604674	0.243460381973	0.155020702432	0.799462854545	0.735721936895	0.636546892478	0.151687738046	0.656424040909	0.691603114881	0.270326035584	0.779925462543	0.585139015972	0.536550927273	0.274810666916	0.335211895504	0.333045045455	0.642899210148	0.323491572727	0.341004864507	0.357560253688	0.225592142486	0.486462871747	0.358903187861	0.377121206715	0.429510879318	0.762093798089	0.0933891692751	0.369823772533	0.766126160147	0.453479188625	0.341060013636	0.445349512304	0.279396087547	0.337334768839	0.419406859686	0.464151711222	0.201044144364	0.542576705567	0.691931719259	0.683945314174	0.374204818182	0.527742395839	0.364583025031	0.520209377351	0.58988479116	0.439117820565	0.27365588552	0.639433296968	0.348848649582	0.360308237498	0.431659884527	0.2768137	0.434709779398	0.257788960839	0.332667073242	0.663954556891	0.210483309091	0.389557502759	0.423901128228	0.555153687745	0.564795054938	0.246837895455	0.601617325233	0.582857780769	0.372478569243	0.629749956601	0.221950545455	0.270775316051	0.695789635047	0.321452920979	0.294537822727	0.609324919857	0.364329900932	0.571261329753	0.6323781442	0.385544263636	0.376246577273	0.253052402246	0.549803290888	0.676899730706	0.674770650079	0.456450072727	0.770585592129	0.231763673483	0.220314880137
S62	0.421870119121	0.408237268182	0.690762795455	0.698754662011	0.668270459091	0.703282245455	0.482215458014	0.526693519441	0.526212627273	0.0	0.411496870614	0.478546352782	0.349415174412	0.725297312805	0.603827953185	0.227163590753	0.272250395455	0.396680723472	0.609205777273	0.485529036364	0.486281318263	0.615316950368	0.374084386364	0.695917883593	0.720195040909	0.277825763636	0.500942531818	0.291334785702	0.425871177963	0.593845245961	0.557851107703	0.382963427273	0.390132476136	0.237310144001	0.60392180745	0.290242604545	0.319192694305	0.557628356949	0.43680012279	0.262315508048	0.301239	0.59237745675	0.604328528324	0.303137954545	0.374546339937	0.434358163636	0.374704678968	0.682102395082	0.550532881713	0.222428933836	0.301057101493	0.494789461641	0.371637539756	0.340839414632	0.512087696286	0.40131057623	0.416649154349	0.312432266656	0.445056922727	0.295543876474	0.303633165219	0.53981674285	0.411319988253	0.330801007977	0.496244161222	0.288603217692	0.280460814467	0.333671673035	0.770596754545	0.290166295773	0.416300785634	0.496000971345	0.221226461632	0.347366357396	0.654609176338	0.458802288079	0.666322136415	0.604950577533	0.23580829567	0.500944009091	0.349223780555	0.438135085651	0.668324942414	0.281556494288	0.518976772727	0.505053267106	0.760744024886	0.225881235061	0.41607670505	0.588554295455	0.29998293041	0.244142046037	0.335337355484	0.232300386513	0.502006481818	0.650281633381	0.290501912593	0.628318871572	0.416910713636	0.191240132108	0.300945920772	0.236413041037	0.460661676657	0.340804963636	0.445106422727	0.581100757635	0.303572471813	0.293376590746	0.445229045581	0.538329227273	0.355853659455	0.399363745279	0.518464193517
